mon,AQI,??,????,PM2.5,PM10,SO2,CO,NO2,O3,??
2016-11,133,28~315,????,99.5,134,11.4,1.797,67.6,27.9,254
2016-12,168,54~431,????,132.7,158.8,17.4,2.51,79.8,28,250
2017-01,147,34~470,????,114.3,146,17.9,2.158,63.9,41.2,208
